DATE,ATA,BT ARR,B/BULK,MAWB,BT NUMBER,FLT NO,ORIGIN,DEST,AWB PCS,RCVD PCS,GW,CW,CHECKER,TEAM,COMODITY,REMARKS (LATE TOW REASON),REMARKS,DO E-POUCH UPLOADED,GROUP,ATA(F),BB(F),LEADTIME,STATUS,SECTION,BT ARR(F),RAMP LT,RAMP STATS
15-Jun-25,2141,2221,2309,180-30743797,I TG 417 / KUL 549 / I TG 988 / BT 463,AK2903,KCH,BOM,500,500,15692.4,15692.4,GTR8417,Delta,CHEM,,,,,,,,,,,,
15-Jun-25,2141,2227,2335,180-77750178,KUL 162,AK2903,MDL,SDK,229,229,16786.0,16786.0,GTR8417,Echo,BOOK,,,,,,,,,,,,
15-Jun-25,2141,2213,2254,180-88566318,BT 94 / BT 992 / I TG 406,AK2903,SBW,MNL,196,196,12637.8,12637.8,GTR8419,Alpha,MACH,,,,,,,,,,,,
15-Jun-25,2141,2254,2300,229-58567046,BT 32 / GTR DT 876 / GTR DT 570,AK2903,SIN,KNO,433,433,4876.8,4876.8,GTR8419,Beta,FOOD,,,,,,,,,,,,
15-Jun-25,2141,2217,2310,695-13619375,BT 125,AK2903,HAN,AMD,289,289,6301.3,6301.3,GTR8415,Alpha,CHEM,,,,,,,,,,,,
15-Jun-25,2141,2304,2330,807-41510328,BT 203 / GTR DT 382,AK2903,PER,CAN,117,117,5198.6,5198.6,GTR8415,Echo,ELI,,,,,,,,,,,,
15-Jun-25,2141,2248,2257,807-71124923,KUL 67,AK2903,RGN,SYD,295,295,6264.8,6264.8,GTR8416,Delta,BOOK,,,,,,,,,,,,
15-Jun-25,2141,2302,2249,843-96926431,I TG 126,AK2903,DMK,SYD,422,422,16953.6,16953.6,GTR8415,Delta,CHEM,,,,,,,,,,,,
15-Jun-25,2357,0101,0149,126-30261159,BT 590,Z21524,KNO,DMK,241,241,5726.1,5726.1,GTR8418,Gamma,MED,,,,,,,,,,,,
15-Jun-25,2357,0126,0150,229-30534124,BT 243 / PMC 326,Z21524,MDL,DEL,376,376,15801.6,15801.6,GTR8417,Echo,BOOK,,,,,,,,,,,,
15-Jun-25,2357,0028,0142,229-43567615,PMC 578 / BT 577 / BT 857,Z21524,PLM,PVG,102,102,9072.9,9072.9,GTR8418,Echo,ELI,,,,,,,,,,,,
15-Jun-25,2357,0046,0108,229-47135391,KUL 93 / KUL 239 / PMC 225 / KUL 540,Z21524,DPS,KUL,171,171,9882.2,9882.2,GTR8418,Alpha,MED,,,,,,,,,,,,
15-Jun-25,2357,0048,0155,807-81216573,BT 349 / BT 941,Z21524,SOC,CCU,464,464,19021.4,19021.4,GTR8417,Alpha,XPS,,,,,,,,,,,,
15-Jun-25,2357,0028,0106,807-94216001,KUL 867 / PMC 882,Z21524,SYD,DPS,159,159,3540.9,3540.9,GTR8417,Alpha,FURN,,,,,,,,,,,,
15-Jun-25,2357,0050,0142,843-28099607,PMC 104 / I TG 310 / I TG 140 / BT 750,Z21524,DMK,BTH,19,19,195.7,195.7,GTR8418,Delta,MAL,,,,,,,,,,,,
16-Jun-25,0048,0208,0211,126-27152188,KUL 206 / BT 243,PX2715,ADL,YIA,48,48,1856.4,1856.4,GTR8418,Alpha,FURN,,,,,,,,,,,,
16-Jun-25,0048,0141,0223,180-90147573,GTR DT 823 / PMC 133 / PMC 906,PX2715,CGK,DMK,403,403,15991.2,15991.2,GTR8415,Alpha,MAL,,,,,,,,,,,,
16-Jun-25,0048,0137,0213,807-75679047,PMC 421 / GTR DT 844 / PMC 76 / BT 996,PX2715,MEL,RGN,481,481,12629.1,12629.1,GTR8417,Alpha,FURN,,,,,,,,,,,,
16-Jun-25,0248,0343,0411,126-18715975,PMC 962 / I TG 774 / BT 204,Z22160,SBW,JOG,149,149,11944.2,11944.2,GTR8419,Echo,PIL,,,,,,,,,,,,
16-Jun-25,0248,0343,0420,229-40097636,KUL 40,Z22160,HKG,VTE,433,433,8742.8,8742.8,GTR8416,Gamma,MED,,,,,,,,,,,,
16-Jun-25,0248,0409,0418,807-31079846,BT 621 / PMC 144 / I TG 954 / PMC 327,Z22160,KCH,DEL,283,283,1195.0,1195.0,GTR8416,Delta,MACH,,,,,,,,,,,,
16-Jun-25,0309,0419,0455,180-45431319,BT 842 / BT 33 / PMC 971 / KUL 196,XT2721,SOC,MLG,129,129,10438.9,10438.9,GTR8415,Delta,COU,,,,,,,,,,,,
16-Jun-25,0309,0359,0435,695-26247735,GTR DT 708 / BT 421,XT2721,SDK,DPS,178,178,7696.1,7696.1,GTR8419,Echo,COU,,,,,,,,,,,,
16-Jun-25,0309,0437,0439,695-61003997,BT 532,XT2721,MNL,SYD,368,368,20371.0,20371.0,GTR8416,Echo,AVF,,,,,,,,,,,,
16-Jun-25,0309,0359,0451,843-78608612,PMC 386 / I TG 980 / BT 471 / PMC 351,XT2721,BTH,BOM,338,338,3793.7,3793.7,GTR8419,Gamma,AUTO,,,,,,,,,,,,
16-Jun-25,0755,0829,0857,180-84593961,I TG 718 / KUL 555 / KUL 958 / KUL 957,AK6327,ADL,MLG,80,80,895.7,895.7,GTR8418,Alpha,AVF,,,,,,,,,,,,
16-Jun-25,0755,0843,0921,229-96691619,BT 785 / GTR DT 384,AK6327,MLG,KNO,406,406,2207.5,2207.5,GTR8418,Delta,FOOD,,,,,,,,,,,,
16-Jun-25,0755,0920,0953,695-73070585,GTR DT 83 / PMC 137 / I TG 122 / BT 551,AK6327,CAN,DPS,119,119,1975.5,1975.5,GTR8418,Echo,MACH,,,,,,,,,,,,
16-Jun-25,0755,0833,0941,807-61343880,KUL 775 / KUL 306,AK6327,DPS,MLG,114,114,2992.7,2992.7,GTR8418,Echo,FURN,,,,,,,,,,,,
16-Jun-25,0755,0852,0929,843-51098277,BT 254 / GTR DT 355 / BT 283 / BT 960,AK6327,ADL,TWU,189,189,6443.1,6443.1,GTR8415,Alpha,CHEM,,,,,,,,,,,,
16-Jun-25,0915,1033,1108,180-17901903,BT 380 / I TG 424 / KUL 577,AK4046,PEN,DMK,464,464,2962.9,2962.9,GTR8416,Beta,CLTH,,,,,,,,,,,,
16-Jun-25,0915,0946,1031,180-55001909,I TG 157 / BT 338 / BT 389 / PMC 854,AK4046,NRT,ICN,20,20,624.9,624.9,GTR8416,Delta,XPS,,,,,,,,,,,,
16-Jun-25,0915,1020,1056,229-38799154,I TG 782 / GTR DT 990 / GTR DT 472,AK4046,MEL,CAN,356,356,20360.2,20360.2,GTR8416,Gamma,ELI,,,,,,,,,,,,
16-Jun-25,1658,1738,1853,229-15864298,KUL 671 / I TG 257 / KUL 381,AK9913,RGN,VTE,347,347,25350.9,25350.9,GTR8416,Alpha,ELEC,,,,,,,,,,,,
16-Jun-25,1658,1753,1838,807-48604965,BT 440 / KUL 721 / KUL 2,AK9913,AMD,PVG,181,181,2205.5,2205.5,GTR8416,Delta,XPS,,,,,,,,,,,,
16-Jun-25,1658,1732,1806,843-22097496,PMC 697 / GTR DT 10,AK9913,CAN,CEB,383,383,7271.8,7271.8,GTR8415,Gamma,FURN,,,,,,,,,,,,
16-Jun-25,2032,2121,2137,126-25457816,BT 550 / I TG 401,Z23358,PLM,DMK,73,73,2383.1,2383.1,GTR8419,Alpha,FOOD,,,,,,,,,,,,
16-Jun-25,2032,2121,2216,229-61894582,BT 60 / BT 89 / GTR DT 119 / GTR DT 627,Z23358,CEB,DEL,255,255,9686.7,9686.7,GTR8419,Alpha,CLTH,,,,,,,,,,,,
16-Jun-25,2032,2121,2214,229-80610004,KUL 13 / BT 719,Z23358,TPE,DMK,244,244,6406.5,6406.5,GTR8415,Beta,ELI,,,,,,,,,,,,
16-Jun-25,2032,2133,2232,695-54398056,PMC 530 / I TG 171 / I TG 130,Z23358,BWN,BTH,139,139,2210.0,2210.0,GTR8417,Alpha,MAL,,,,,,,,,,,,
16-Jun-25,2032,2151,2229,843-19369750,I TG 827,Z23358,MFM,MDL,175,175,10385.8,10385.8,GTR8418,Gamma,GC,,,,,,,,,,,,
16-Jun-25,2039,2142,2143,180-23489853,PMC 643 / KUL 509 / GTR DT 524,PX6025,KNO,BOM,356,356,3574.3,3574.3,GTR8417,Alpha,AUTO,,,,,,,,,,,,
16-Jun-25,2039,2140,2233,180-46173157,I TG 162 / I TG 792,PX6025,SDK,DPS,391,391,18401.6,18401.6,GTR8415,Echo,MACH,,,,,,,,,,,,
16-Jun-25,2039,2152,2225,180-70254091,BT 759,PX6025,PEN,SBW,123,123,3987.6,3987.6,GTR8419,Alpha,BOOK,,,,,,,,,,,,
16-Jun-25,2039,2111,2233,180-72962895,BT 48,PX6025,KNO,PER,3,3,72.6,72.6,GTR8418,Gamma,MAL,,,,,,,,,,,,
16-Jun-25,2039,2133,2237,229-47346970,BT 954 / KUL 567,PX6025,RGN,BKI,428,428,1966.8,1966.8,GTR8418,Beta,AVF,,,,,,,,,,,,
16-Jun-25,2039,2129,2154,695-61053877,I TG 278 / KUL 586 / I TG 123 / PMC 690,PX6025,BTH,KUL,483,483,16400.7,16400.7,GTR8415,Beta,CHEM,,,,,,,,,,,,
16-Jun-25,2127,2246,2321,126-57130035,I TG 89 / PMC 468 / KUL 378,Z21140,SYD,SOC,205,205,12876.7,12876.7,GTR8416,Gamma,AUTO,,,,,,,,,,,,
16-Jun-25,2127,2233,2317,126-90246882,PMC 249 / GTR DT 378 / PMC 996,Z21140,BKK,SYD,332,332,6623.3,6623.3,GTR8418,Beta,FOOD,,,,,,,,,,,,
16-Jun-25,2127,2243,2324,229-39372360,BT 7 / GTR DT 25,Z21140,DEL,JOG,238,238,1509.8,1509.8,GTR8416,Echo,ELI,,,,,,,,,,,,
16-Jun-25,2127,2219,2307,229-79067939,I TG 2,Z21140,KUL,DRW,446,446,14692.5,14692.5,GTR8418,Gamma,MAL,,,,,,,,,,,,
16-Jun-25,2127,2203,2240,695-61053474,GTR DT 504 / KUL 996,Z21140,KNO,PLM,153,153,13274.5,13274.5,GTR8416,Gamma,ELEC,,,,,,,,,,,,
16-Jun-25,2127,2202,2229,843-51746937,PMC 423 / I TG 470,Z21140,HKG,AMD,14,14,893.5,893.5,GTR8415,Echo,FOOD,,,,,,,,,,,,
16-Jun-25,2127,2203,2259,843-91478884,GTR DT 77 / PMC 582,Z21140,BWN,PEN,326,326,3871.0,3871.0,GTR8415,Delta,XPS,,,,,,,,,,,,
